,Invoice_#,Clerk,SKU,Name,Quantity,Net_Price,Total_Sale,COGS,Profit,Margin,Tender
6701,98729B,41,03918,ZINSSER ODORLESS SEALER,1.0,14.99,14.99,7.37,7.62,50.8,Mastercard
6702,98735B,41,PLPS, PL PREMIUM ADHESIVE 295M,6.0,9.99,59.94,46.2,13.74,22.9,Mastercard
6703,98736B,41,/H, euro plug,12.0,0.19,2.28,1.26,1.02,44.7,Visa
6704,98738B,41,PSBZ832134MR," 8-32X1-3/4"" STOVE BOLT R",1.0,2.961,2.96,1.61,1.35,45.6,Visa
6705,98738B,41,0335040,DOOR SWEEP VINYL BROWN,1.0,8.991,8.99,4.79,4.2,46.7,Visa
6706,98739B,06,310940, 5x6 WHITE SHELF BRACKET,6.0,1.521,9.13,3.78,5.35,58.6,Cash
6707,98742A,41,5669072,BOTTOM PIVOT JAMB BRACKE,2.0,5.49,10.98,5.46,5.52,50.3,"CHA-0308
"
6708,98742A,41,0306057,"SPRING DOOR STOP 3""",4.0,1.89,7.56,3.6,3.96,52.4,"CHA-0308
"
6709,98742A,41,334580," BIFOLD TRACK ONLY 36""",1.0,8.99,8.99,4.43,4.56,50.7,"CHA-0308
"
6710,98742A,41,334582," BIFOLD TRACK ONLY 48""",1.0,12.99,12.99,6.29,6.7,51.6,"CHA-0308
"
6711,98743B,06,DS0908BFDC, 8/10TPI DIABLO RECIP BLA,1.0,6.291,6.29,3.27,3.02,48.0,Cash
6712,98743B,06,DHS3000,"DIABLO HOLE SAW 3""",1.0,18.441,18.44,10.24,8.2,44.5,Cash
6713,98748B,41,A35Z," SIMPSON 4 1/2"" FRAMING A",55.0,1.19,65.45,32.45,33.0,50.4,"CHA-CEMILES
"
6714,98748B,41,76333,"TORX3O IMPACT 2""",1.0,3.99,3.99,1.73,2.26,56.6,"CHA-CEMILES
"
6715,98751B,06,0523123,PL400 SUBFLOOR ADHESIVE,3.0,7.29,21.87,13.92,7.95,36.4,"CHA-1078
"
6716,98756B,41,FKWZ141MR,14X1 FH WOOD SCREW ZINC,2.0,2.961,5.92,3.22,2.7,45.6,Debit
6717,98758B,41,TNUTLARGE,"T NUT 5/16 & 3/8""",3.0,0.69,2.07,1.17,0.9,43.5,Visa
6718,98760A,82,217NVB," 3"" DOOR STOP W/UPC",5.0,1.79,8.95,4.15,4.8,53.6,Mastercard
6719,98760A,82,217WVB," 3"" FLEXIBLE DOOR STOP",4.0,1.89,7.56,3.6,3.96,52.4,Mastercard
6720,98761B,41,RP-B18/50SS,"2"" 18G SS BRAD 1M",1.0,17.991,17.99,10.05,7.94,44.1,Cash
6721,98766A,23,0762054,TORK SHOP TOWELS 60 SHEE,1.0,6.69,6.69,4.2,2.49,37.2,"CHA-FAWKES
"
6722,98766A,23,0328987,DEWALT RIGHT ANGLE TOOL,1.0,39.99,39.99,15.63,24.36,60.9,"CHA-FAWKES
"
6723,98766A,23,TI2139IM," 3/16"" IMPACT TITANIUM DR",2.0,5.99,11.98,5.84,6.14,51.3,"CHA-FAWKES
"
6724,98766A,23,04-12411," 1/2"" COUNTERSINK BIT",1.0,22.99,22.99,11.71,11.28,49.1,"CHA-FAWKES
"
6725,98766A,23,04-1877715," 3/8"" COUNTERSINK BLK OX",1.0,19.99,19.99,10.93,9.06,45.3,"CHA-FAWKES
"
6726,98766A,23,1017322,"6-1/2""X60T METAL BLADE",1.0,49.99,49.99,29.99,20.0,40.0,"CHA-FAWKES
"
6727,98770B,06,BM821R," BUTT MARKER 3 1/2"" BLACK",1.0,7.49,7.49,3.37,4.12,55.0,Visa
6728,98776A,23,T46322G12,"12"" RICHELIEU DRAWER SLI",1.0,29.69,29.69,14.83,14.86,50.1,Debit
6729,98780A,23,14HS," HORSESHOE SHIM 1/4"" BLAC",3.0,8.55,25.65,13.32,12.33,48.1,Cash
6730,98780A,23,18HS," HORSESHOE SHIM 1/8"" RED",1.0,14.391,14.39,6.56,7.83,54.4,Cash
6731,98782A,06,A79R010000, RATCHETING HARD HAT WHIT,3.0,18.99,56.97,35.19,21.78,38.2,"CHA-0531
"
6732,98783B,41,SD10112R500,"#10 1-1/2"" STRUCTURAL SC",1.0,90.89,90.89,42.64,48.25,53.1,"CHA-0467
"
6733,98783B,41,HU9,FACE MOUNT HANGER,5.0,13.99,69.95,30.6,39.35,56.3,"CHA-0467
"
6734,98786B,23,31648D," DOWEL 3/16"" X 48""",4.0,1.49,5.96,1.96,4.0,67.1,"CHA-1022
"
6735,98788B,06,99BC0714," 14"" BOLT CUTTER",1.0,37.99,37.99,18.69,19.3,50.8,"CHA-0477
"
6736,98789A,06,1521459,ESTWING CLAW HAMMER LEAT,-1.0,-59.99,-59.99,-36.04,-23.95, -39.9,"CHA-191
"
6737,98790A,41,991944, MASTER-COMBINATION SHACK,1.0,59.99,59.99,39.98,20.01,33.4,Visa
6738,98791B,06,203027, INVERTED MARKING PAINT O,-2.0,-11.99,-23.98,-12.06,-11.92, -49.7,"CHA-191
"
6739,98791B,06,FLAGORANGE150,"FLAGGING TAPE ORANGE 1""",-1.0,-2.99,-2.99,-1.64,-1.35, -45.2,"CHA-191
"
6740,98791B,06,FLAGPINK150,"FLAGGING TAPE PINK 1""",-1.0,-3.99,-3.99,-1.64,-2.35, -58.9,"CHA-191
"
6741,98797B,06,1521459,ESTWING CLAW HAMMER LEAT,1.0,59.99,59.99,36.04,23.95,39.9,"CHA-0477
"
6742,98797B,06,FLAGORANGE150,"FLAGGING TAPE ORANGE 1""",1.0,2.99,2.99,1.64,1.35,45.2,"CHA-0477
"
6743,98797B,06,FLAGPINK150,"FLAGGING TAPE PINK 1""",1.0,3.99,3.99,1.64,2.35,58.9,"CHA-0477
"
6744,98797B,06,3030, PICA-DRY AUTOMATIC PENCI,1.0,17.99,17.99,10.58,7.41,41.2,"CHA-0477
"
6745,98806A,41,AIR,DUSTOFF COMPRESSED AIR 1,1.0,0.0,0.0,5.01,-5.01, -99.9,Cash
6746,98807B,41,98077,SD/SS-IND IMPACT NUTSETT,1.0,8.39,8.39,4.19,4.2,50.1,Visa
6747,98816B,06,48-22-8912, A1 WINTER GLOVE LARGE MI,1.0,12.99,12.99,6.69,6.3,48.5,"CHA-1078
"
6748,98816B,06,48-11-1850, M18 5.0 AH BATTERY,1.0,125.0,125.0,126.02,-1.02,-0.8,"CHA-1078
"
6749,98817B,06,SCS-2,OLFA SCISSORS,1.0,35.99,35.99,21.7,14.29,39.7,"CHA-1078
"
6750,98817B,06,RL0305, 9X400'PLASTIC SHEET,1.0,32.99,32.99,17.12,15.87,48.1,"CHA-1078
"
6751,98819B,23,HUS1.81/10, HUS1.81/10 FACE MT HANGE,2.0,11.691,23.38,11.06,12.32,52.7,Debit
6752,98822B,23,0534426,ALEX PLUS WHITE 300ML,1.0,3.49,3.49,2.51,0.98,28.1,Debit
6753,98822B,23,0534443,DYNAFLEX 230 CLEAR 300ML,1.0,7.99,7.99,4.84,3.15,39.4,Debit
6754,98826B,23,WUB66RHDG,6X6 ROUGH POST HOLDER,3.0,45.891,137.67,67.86,69.81,50.7,Visa
6755,98840B,23,902513, PASLODE QUIKLODE CELL,1.0,19.99,19.99,13.41,6.58,32.9,"CHA-0527
"
6756,98845B,23,PLPS, PL PREMIUM ADHESIVE 295M,2.0,9.99,19.98,15.4,4.58,22.9,Cash
6757,98847B,23,J570261,"11/64""JET-KUT GOLD JOBBE",2.0,3.591,7.18,4.04,3.14,43.7,Visa
6758,98847B,23,J570265,"15/64"" JET-KUT JOBBER BI",2.0,5.211,10.42,6.16,4.26,40.9,Visa
6759,98847B,23,570259," 9/64"" JET-KUT GOLD JOBBE",2.0,3.591,7.18,3.7,3.48,48.5,Visa
6760,98847B,23,J570258,"1/8"" JET-KUT GOLD JOBBER",2.0,3.591,7.18,3.66,3.52,49.0,Visa
6761,98847B,23,1054732,EAB HOLE SAW 2-1/8 BI-ME,1.0,15.49,15.49,12.29,3.2,20.7,Visa
6762,98847B,23,1054592,EAB HOLE SAW 1-1/8 BI-ME,1.0,11.99,11.99,9.29,2.7,22.5,Visa
6763,98847B,23,1054562,"EAB HOLE SAW 1"" BI-METAL",2.0,10.49,20.98,18.58,2.4,11.4,Visa
6764,98847B,23,1054622,EAB HOLE SAW 1-1/4 BI-ME,1.0,13.99,13.99,11.39,2.6,18.6,Visa
6765,98848B,06,PKAZ8114MR, 8X1-1/4 METAL SCREWS PAN,1.0,3.29,3.29,1.61,1.68,51.1,"CHA-MEANEY
"
6766,98848B,06,3056002,EAB HOLE SAW DIAMOND 1/4,1.0,14.69,14.69,8.39,6.3,42.9,"CHA-MEANEY
"
6767,98848B,06,49-56-0503," 3/16"" DIAMOND HOLE SAW M",1.0,25.99,25.99,14.35,11.64,44.8,"CHA-MEANEY
"
6768,98851B,06,98093,10PK #2 PHILLIPS,1.0,19.99,19.99,12.59,7.4,37.0,"CHA-0792
"
6769,98859A,06,HL33, HEAVY ANGLE,2.0,15.99,31.98,15.36,16.62,52.0,Cash
6770,98861A,06,0534426,ALEX PLUS WHITE 300ML,1.0,3.49,3.49,2.51,0.98,28.1,"CHA-61
"
6771,98861A,06,6081699,PROSOURCE CAULKING GUN 9,1.0,13.99,13.99,6.48,7.51,53.7,"CHA-61
"
6772,98862B,23,3ROB," 3"" ROBERTSON DRIVE BITS",1.0,3.99,3.99,1.91,2.08,52.1,"CHA-97
"
6773,98863A,06,OX-PU10-4.5,UNIVERSAL 4-1/2 DIAMOND,1.0,27.99,27.99,17.99,10.0,35.7,Cash
6774,98864B,23,02-LXC5,LEXEL CLEAR CAULKING 148,1.0,11.99,11.99,6.26,5.73,47.8,"CHA-0485
"
6775,98864B,23,P010717,8 OUTLET POWER BAR W SUR,1.0,34.99,34.99,15.0,19.99,57.1,"CHA-0485
"
6776,98865A,06,BK110,SAFETY GLASSES CLEAR LEN,1.0,4.99,4.99,2.46,2.53,50.7,Debit
6777,98872A,06,MAXBAGC,MAX GARBAGE BAGS CLEAR,2.0,34.99,69.98,44.52,25.46,36.4,"CHA-138
"
6778,98872A,06,389350," 5"" TAPING KNIFE FLEXIBLE",1.0,9.99,9.99,5.51,4.48,44.8,"CHA-138
"
6779,98873A,06,22248,OUTDOOR ONLY BLUE TUCK T,3.0,12.99,38.97,24.42,14.55,37.3,"CHA-138
"
6780,98873A,06,A1138,EG STAPLES A11 7/16 X 3/,1.0,5.99,5.99,3.24,2.75,45.9,"CHA-138
"
6781,98886B,41,WWZ1MR," 1"" WOOD WASHER ZINC",2.0,3.29,6.58,3.22,3.36,51.1,Mastercard
6782,98886B,41,PSBZ83212MR,8-32X1/2 MACHINE SCREWS,1.0,3.29,3.29,1.61,1.68,51.1,Mastercard
6783,98894B,41,421464, SCOTT BLUE SHOP TOWELS,1.0,3.69,3.69,2.51,1.18,32.0,"CHA-138
"
6784,98894B,41,SG13922,SIMPLE GREEN 650ML/22OZ,1.0,9.99,9.99,4.27,5.72,57.3,"CHA-138
"
6785,98894B,41,DOWWHITE, SILICONE SEALANT WHITE,1.0,13.99,13.99,8.18,5.81,41.5,"CHA-138
"
6786,98894B,41,8267619,"3/4""X96""X3/32 ALUMINUM F",1.0,15.99,15.99,8.31,7.68,48.0,"CHA-138
"
6787,98896B,41,523210, DAP DRYDEX SPACKLE 946ML,1.0,11.99,11.99,7.83,4.16,34.7,"CHA-1098
"
6788,98896B,41,/H, key assorted colour,10.0,0.59,5.9,3.25,2.65,44.9,"CHA-1098
"
6789,98898B,06,TR89165,"39.37"" X 54.15' SURFACE",1.0,133.99,133.99,78.14,55.85,41.7,"CHA-138
"
6790,98909B,23,901XR,"STRAP HINGE L.D. 3"" ZINC",1.0,4.99,4.99,3.42,1.57,31.5,Mastercard
6791,98909B,23,FKWZ8114VP, 8X1-1/4 FH WOOD SCREWS Z,1.0,7.29,7.29,3.66,3.63,49.8,Mastercard
6792,98911A,41,/H," snap ring 1""",2.0,0.59,1.18,0.65,0.53,44.9,Debit
6793,98916B,06,NP1OWHT,NP1 OFF-WHITE 300ML,1.0,11.99,11.99,7.4,4.59,38.3,"CHA-0527
"
6794,98923B,41,991944, MASTER-COMBINATION SHACK,1.0,59.99,59.99,39.98,20.01,33.4,"CHA-1078
"
6795,98923B,41,0523123,PL400 SUBFLOOR ADHESIVE,4.0,7.29,29.16,18.56,10.6,36.4,"CHA-1078
"
6796,98926B,41,TB38, TITEBOND III 237ML,1.0,14.49,14.49,7.87,6.62,45.7,Mastercard
6797,98932B,41,6863328,GE CLEAR SILICONE TUBE K,1.0,13.49,13.49,8.09,5.4,40.0,Visa
6798,98932B,41,6323893,GE WHITE SILICONE TUBE K,1.0,12.99,12.99,8.39,4.6,35.4,Visa
6799,98933B,23,546/24, BLACK & WHITE PENCIL,1.0,3.99,3.99,2.11,1.88,47.1,Mastercard
6800,98938A,41,88811,IRWIN SPEEDBOR BIT 11/16,1.0,5.99,5.99,2.49,3.5,58.4,Mastercard
6801,98939B,06,GRKR49318HP,GRK R4 WOOD SCREW 9 X 3,3.0,25.731,77.19,45.21,31.98,41.4,Mastercard
6802,98941A,41,0573186,ELMERS WOOD FILLER NATUR,1.0,5.69,5.69,2.87,2.82,49.6,"CHA-VISIONB
"
6803,98941A,41,02-F42118,FAMOWOOD 1/4PT FIR/MAPLE,1.0,8.99,8.99,4.64,4.35,48.4,"CHA-VISIONB
"
6804,98941A,41,44025,FLUTED DOWEL PINS 3/8X1.,1.0,4.99,4.99,2.42,2.57,51.5,"CHA-VISIONB
"
6805,98941A,41,DSB1003,"BOSCH SPADE 3/8""X6""",1.0,4.79,4.79,2.11,2.68,55.9,"CHA-VISIONB
"
6806,98941A,41,0823206,"INDOOR CARPET TAPE 1.5""X",1.0,7.99,7.99,4.86,3.13,39.2,"CHA-VISIONB
"
6807,98941A,41,N218-499," 1/4""-20x36"" THREADED ROD",1.0,3.99,3.99,1.97,2.02,50.6,"CHA-VISIONB
"
6808,98941A,41,07.005," THREADED COUPLER 1/4""",2.0,1.49,2.98,69.7,-66.72, -99.9,"CHA-VISIONB
"
6809,98941A,41,22303,"1/4""X1/4"" NYLON SPACER",4.0,0.59,2.36,0.32,2.04,86.4,"CHA-VISIONB
"
6810,98941A,41,22301,"1/4""X1/2"" NYLON SPACER",8.0,0.59,4.72,0.0,4.72, 100.0,"CHA-VISIONB
"
6811,98948B,41,31207,"48"" SHOVELLONG HAND ROUN",1.0,45.99,45.99,22.26,23.73,51.6,Debit
6812,98950A,06,0523122,PL200 ADHESIVE 825ML,2.0,14.99,29.98,20.1,9.88,33.0,Cash
6813,98950A,06,OX-P018418, PRO SS BUCKET TROWEL,1.0,24.291,24.29,13.79,10.5,43.2,Cash
6814,98951A,06,02-6200002, GORILLA WOOD GLUE 8OZ,1.0,7.99,7.99,4.15,3.84,48.1,Mastercard
6815,98959B,41,1582006,BRASS STAIR GAUGE,1.0,7.99,7.99,3.99,4.0,50.1,Visa
6816,98959B,41,EM71.8," 8"" MAGNETIC TORPEDO LEVE",1.0,32.99,32.99,20.44,12.55,38.0,Visa
6817,98966B,23,BAF-OILC16, 30W COMPRESSOR OIL 16OZ,1.0,12.59,12.59,6.25,6.34,50.4,Debit
6818,98976B,23,76067,"PHILLIPS#2 IMPACT 6"" RED",1.0,7.99,7.99,4.13,3.86,48.3,Visa
6819,98976B,23,2PH,"2"" PHILLIPS DRIVE",1.0,3.99,3.99,1.31,2.68,67.2,Visa
6820,98976B,23,98007,"PHILLIPS#2 IMPACT 2""HD",1.0,4.99,4.99,1.99,3.0,60.1,Visa
6821,98979B,23,CS16R,SIMPSON CS16R 25' 16 GAU,1.0,116.99,116.99,40.71,76.28,65.2,"CHA-0792
"
6822,98982B,41,NYLON3/8, 3/8 NYLON WASHER BY PIEC,4.0,0.531,2.12,0.64,1.48,69.8,Visa
6823,98982B,41,NYLON1/2," 1/2"" NYLON WASHER BY PIE",6.0,0.531,3.19,0.96,2.23,69.9,Visa
6824,98985B,41,47065B-R," ESCUTCHEON PINS 1""X16 GA",1.0,2.09,2.09,1.17,0.92,44.0,Visa
6825,98988B,06,396524, JT21M STAPLE GUN TACKER,1.0,25.99,25.99,15.69,10.3,39.6,Cash
6826,98988B,06,396544," 1/4"" ARROW STAPLES JT-21",1.0,3.49,3.49,1.62,1.87,53.6,Cash
6827,99000B,06,8267619,"3/4""X96""X3/32 ALUMINUM F",-1.0,-15.99,-15.99,-8.31,-7.68, -48.0,"CHA-138
"
6828,99001B,06,TR89165,"39.37"" X 54.15' SURFACE",4.0,133.99,535.96,312.56,223.4,41.7,"CHA-138
"
6829,99003B,23,5026," 9"" SAWZALL MILWAUKEE",5.0,8.99,44.95,18.4,26.55,59.1,"CHA-699
"
6830,99005B,23,MI313991," 8"" MILL BASTARD",1.0,13.99,13.99,5.21,8.78,62.8,"CHA-1243
"
6831,99005B,23,D031185,FEIN BI METAL 29MM,1.0,21.99,21.99,7.33,14.66,66.7,"CHA-1243
"
6832,99005B,23,D030294,FEIN BI METAL 44MM,2.0,21.99,43.98,15.62,28.36,64.5,"CHA-1243
"
6833,99005B,23,2070232,"1 1/4"" METAL BLADE 5PK",1.0,54.59,54.59,35.39,19.2,35.2,"CHA-1243
"
6834,99006A,06,09-02925, 6 MIL INDUSTRIAL BAGS CL,60.0,2.0,120.0,84.6,35.4,29.5,"CHA-0208
"
6835,99007B,23,B18/38SS," 1-1/2"" STAINLESS 18 GA B",1.0,62.99,62.99,38.82,24.17,38.4,"CHA-0346
"
6836,99008A,23,48-22-3100, MILWAUKEE BLACK MARKER F,2.0,2.331,4.66,2.28,2.38,51.1,Visa
6837,99008A,23,2118853,"4"" CONTINUOUS RIM DIAMON",1.0,24.99,24.99,15.59,9.4,37.6,Visa
6838,99009A,23,9005W-XL, WINTER FLEXTIME XL GLOVE,2.0,19.791,39.58,26.0,13.58,34.3,Visa
6839,99009A,23,9005W-L,WINTER FLEXTIME LARGE GL,2.0,19.791,39.58,26.0,13.58,34.3,Visa
6840,99009A,23,44560,ADJUSTABLE ANGLE GRINDER,1.0,8.991,8.99,4.97,4.02,44.7,Visa
6841,99009A,23,205-02, INDOOR ONLY RED TUCK TAP,1.0,10.99,10.99,5.94,5.05,46.0,Visa
6842,99009A,23,STUCCOTAPE, STUCCO TAPE RED,3.0,11.691,35.07,17.97,17.1,48.8,Visa
6843,99011B,06,BUCKET5,5GAL BUCKET PAINT PAIL 1,1.0,8.99,8.99,5.4,3.59,39.9,"CHA-0184
"
6844,99011B,06,750130, CONRETE BONDING ADHESIVE,1.0,12.99,12.99,7.22,5.77,44.4,"CHA-0184
"
6845,99011B,06,300000352,WINDOW FLASHING TAPE 60M,1.0,89.99,89.99,57.89,32.1,35.7,"CHA-0184
"
6846,99011B,06,633776," 7.5"" CABLE TIES 100PC",2.0,5.99,11.98,5.72,6.26,52.3,"CHA-0184
"
6847,99011B,06,48-22-3100, MILWAUKEE BLACK MARKER F,2.0,2.59,5.18,2.28,2.9,56.0,"CHA-0184
"
6848,99011B,06,PHLIP4," 4"" PHLIP BIT #1,2,3",1.0,7.95,7.95,4.95,3.0,37.7,"CHA-0184
"
6849,99011B,06,01.011, 1 LITRE MIXING CUP,1.0,2.99,2.99,0.77,2.22,74.2,"CHA-0184
"
6850,99012B,06,4050, PICA DRY GRAPHITE LEAD H,1.0,10.99,10.99,6.44,4.55,41.4,"CHA-492
"
6851,99012B,06,J570256,"3/32"" JET-KUT GOLD JOBBE",1.0,2.99,2.99,1.53,1.46,48.8,"CHA-492
"
6852,99012B,06,J570257,"7/64"" JET-KUT GOLD JOBBE",1.0,2.99,2.99,1.57,1.42,47.5,"CHA-492
"
6853,99012B,06,J570258,"1/8"" JET-KUT GOLD JOBBER",1.0,3.99,3.99,1.83,2.16,54.1,"CHA-492
"
6854,99012B,06,570259," 9/64"" JET-KUT GOLD JOBBE",1.0,3.99,3.99,1.85,2.14,53.6,"CHA-492
"
6855,99012B,06,J570262,"3/16"" JET-KUT GOLD JOBBE",1.0,5.49,5.49,2.87,2.62,47.7,"CHA-492
"
6856,99012B,06,J570263,"13/64"" JET GOLD JOBBER B",1.0,5.69,5.69,3.15,2.54,44.6,"CHA-492
"
6857,99012B,06,J570265,"15/64"" JET-KUT JOBBER BI",1.0,5.79,5.79,3.08,2.71,46.8,"CHA-492
"
6858,99012B,06,J570266,"1/4"" JET-KUT GOLD JOBBER",1.0,7.39,7.39,3.71,3.68,49.8,"CHA-492
"
6859,99012B,06,J570271,"21/64"" JET-KUT GOLD JOBB",1.0,11.49,11.49,5.94,5.55,48.3,"CHA-492
"
6860,99012B,06,J570272,"11/32"" JE-KUT GOLD JOBBE",1.0,12.99,12.99,7.12,5.87,45.2,"CHA-492
"
6861,99012B,06,J570276,"13/32"" JET-KUT GOLD JOBB",1.0,17.99,17.99,9.47,8.52,47.4,"CHA-492
"
6862,99012B,06,J570280,"15/32"" JET-KUT GOLD JOBB",1.0,22.99,22.99,12.41,10.58,46.0,"CHA-492
"
6863,99012B,06,J570260,"5/32"" JET-KUT GOLD JOBBE",5.0,3.99,19.95,9.95,10.0,50.1,"CHA-492
"
6864,99012B,06,42526081446,1/2-13NC TAP,1.0,9.99,9.99,4.87,5.12,51.3,"CHA-492
"
6865,99012B,06,80220,10-24 TAP / DRILL BIT,2.0,8.99,17.98,7.88,10.1,56.2,"CHA-492
"
6866,99012B,06,30002,SHARPIE RED FINE TIP MAR,1.0,2.59,2.59,1.07,1.52,58.7,"CHA-492
"
6867,99015B,23,48-22-3100, MILWAUKEE BLACK MARKER F,1.0,2.59,2.59,1.14,1.45,56.0,"CHA-388
"
6868,99017B,23,355606, TOUCH N' FOAM 12OZ GREEN,1.0,13.99,13.99,7.58,6.41,45.8,"CHA-CEMILES
"
6869,99018B,23,TWISTER,MANUAL REBAR TWISTER WOO,1.0,8.091,8.09,4.48,3.61,44.6,Mastercard
6870,99019B,06,205-02, INDOOR ONLY RED TUCK TAP,1.0,10.99,10.99,5.94,5.05,46.0,"CHA-0898
"
6871,99019B,06,577406, WD&S SILICONE CLEAR 290M,1.0,11.99,11.99,6.26,5.73,47.8,"CHA-0898
"
6872,99020B,23,AB02639,PROSAND JOB PACK 120G,20.0,0.99,19.8,10.0,9.8,49.5,"CHA-NATURAL
"
6873,99020B,23,9113X80G, PROSAND JOB PACK 80G 20P,20.0,0.99,19.8,12.0,7.8,39.4,"CHA-NATURAL
"
6874,99020B,23,911SP100G,SANDPAPER BULK GARNET 10,10.0,0.99,9.9,3.4,6.5,65.7,"CHA-NATURAL
"
6875,99020B,23,STUCCOTAPE, STUCCO TAPE RED,2.0,12.99,25.98,11.98,14.0,53.9,"CHA-NATURAL
"
6876,99020B,23,FKAS8112VP, 8x1-1/2 FLAT HEAD SS SCR,1.0,28.99,28.99,14.79,14.2,49.0,"CHA-NATURAL
"
6877,99020B,23,1593078,"1/4""X 12"" OXIDE DRILL BI",1.0,15.99,15.99,5.31,10.68,66.8,"CHA-NATURAL
"
6878,99020B,23,76336,"TORX40 IMPACT 2"" BLUE",1.0,3.99,3.99,1.73,2.26,56.6,"CHA-NATURAL
"
6879,99020B,23,098228," 2"" T40 TORX IMPACT",1.0,3.49,3.49,1.15,2.34,67.0,"CHA-NATURAL
"
6880,99020B,23,7050, H REPLACEMENT LEAD 0.9,1.0,7.99,7.99,3.99,4.0,50.1,"CHA-NATURAL
"
6881,99020B,23,3030, PICA-DRY AUTOMATIC PENCI,1.0,17.99,17.99,10.58,7.41,41.2,"CHA-NATURAL
"
6882,99020B,23,7070, PICA FINE DRY PENCIL,1.0,19.99,19.99,11.98,8.01,40.1,"CHA-NATURAL
"
6883,99021B,23,TB21G,TITEBOND II 3.78L,1.0,59.99,59.99,33.57,26.42,44.0,"CHA-0713
"
6884,99021B,23,IB100-400/6,INSTANT BOND ADHESIVE GL,1.0,27.99,27.99,14.55,13.44,48.0,"CHA-0713
"
6885,99021B,23,9394L,STEALTH TRANSFORMER LARG,1.0,9.99,9.99,5.45,4.54,45.4,"CHA-0713
"
6886,99027B,23,KILZQ,KILZ ORIGINAL PRIMER 946,1.0,16.99,16.99,10.17,6.82,40.1,"CHA-1243
"
6887,99028B,23,116HS,"HORSESHOE SHIM 1/16"" BLU",1.0,9.99,9.99,4.92,5.07,50.8,"CHA-108
"
6888,99028B,23,18HS," HORSESHOE SHIM 1/8"" RED",1.0,15.99,15.99,6.56,9.43,59.0,"CHA-108
"
6889,99030B,23,FEIN160,FEIN BLADE LONG LIFE WOO,1.0,21.99,21.99,10.5,11.49,52.3,"CHA-620
"
6890,99035B,06,DS1205FGC,"DIABLO PRUNING BLADE 12""",2.0,8.091,16.18,7.64,8.54,52.8,Debit
6891,99035B,06,DS0912BWC,"9"" DEMO DEMON RECIP BLAD",6.0,5.841,35.05,18.66,16.39,46.8,Debit
6892,99039A,23,0534510,ACOUSTI-SEAL 295ML,1.0,8.59,8.59,5.18,3.41,39.7,"CHA-138
"
6893,99039A,23,2140422,"5"" ULTRA THIN CUTTING WH",2.0,6.59,13.18,6.58,6.6,50.1,"CHA-138
"
6894,99039A,23,2140412,"4-1/2"" ULTRA THIN CUTTIN",2.0,5.99,11.98,5.86,6.12,51.1,"CHA-138
"
6895,99043B,23,/H, Key Ring,1.0,0.49,0.49,0.27,0.22,44.9,"CHA-702
"
6896,99045B,06,DBAG, CLEAR DRYWALL ASBESTOS B,2.0,3.49,6.98,4.46,2.52,36.1,"CHA-375
"
6897,99047B,23,0534426,ALEX PLUS WHITE 300ML,2.0,3.49,6.98,5.02,1.96,28.1,Visa
6898,99047B,23,DOWWHITE, SILICONE SEALANT WHITE,1.0,12.591,12.59,8.18,4.41,35.0,Visa
6899,99055B,06,MAXBAGC,MAX GARBAGE BAGS CLEAR,1.0,34.99,34.99,22.26,12.73,36.4,"CHA-0467
"
6900,99055B,06,PLPS, PL PREMIUM ADHESIVE 295M,20.0,9.99,199.8,154.0,45.8,22.9,"CHA-0467
"
6901,99055B,06,DMAPL4230,"5/8X10X12"" SDS+ DB",1.0,39.79,39.79,19.87,19.92,50.1,"CHA-0467
"
6902,99056B,06,5701232,"ANTIQUE 5"" #2",1.0,7.99,7.99,2.76,5.23,65.5,"CHA-0467
"
6903,99059B,06,TO24212,"TRADE LEVEL-48"" /1200M",1.0,56.99,56.99,32.4,24.59,43.1,Visa
6904,99065B,06,46909,"2-11/16"" FLUSH CUT BLADE",1.0,8.99,8.99,2.95,6.04,67.2,Debit
6905,99069B,06,FP4100NS300,4100NS FIRESTOP SEALANT,2.0,15.99,31.98,17.94,14.04,43.9,"CHA-KIMMEL
"
6906,99072B,23,07.033, EURO HINGE FULL OVERLAY,2.0,9.99,19.98,11.44,8.54,42.7,"CHA-1185
"
6907,99072B,23,UC175H710180, MOUNTING PLATE 0mm ADJUS,2.0,2.99,5.98,2.94,3.04,50.8,"CHA-1185
"
6908,99075A,41,396536," 3/8"" ARROW STAPLES T-50",1.0,4.99,4.99,2.58,2.41,48.3,"CHA-699
"
6909,99076B,06,WS, WAFER SCREWS BULK,0.22,11.691,2.57,2.27,0.3,11.7,Cash
6910,99076B,06,8924649,"BRAIDED COTTON 9/64"" X 3",1.0,2.691,2.69,1.26,1.43,53.2,Cash
6911,99076B,06,2107, EYE BOLT W/NUTS 1/4X2 1/,6.0,2.961,17.77,9.48,8.29,46.7,Cash
6912,99080B,23,3056002,EAB HOLE SAW DIAMOND 1/4,1.0,14.69,14.69,8.39,6.3,42.9,Visa
6913,99080B,23,BP509830, DOUBLE MAGNETIC LATCH WH,4.0,5.79,23.16,11.48,11.68,50.4,Visa
6914,99081A,41,391XL,STEALTH BLACK LITE GLOVE,1.0,2.691,2.69,1.25,1.44,53.5,Visa
6915,99083B,23,76105,SDCLP/SS-PRO TORSION TOR,1.0,21.99,21.99,12.29,9.7,44.1,"CHA-NATURAL
"
