        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of Mar 2022 to the end of Mar 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 132,369.00
         0                     GLUES ADHESIVES   527.14
         03/22/2022   60233B   6772966           2PC CAULKING TOOL SET HYDE             1.000  EACH            4.49
         03/25/2022   61487A   6772966           2PC CAULKING TOOL SET HYDE             1.000  EACH            4.99
         03/26/2022   62004B   6772966           2PC CAULKING TOOL SET HYDE             1.000  EACH            4.99
         03/31/2022   64156B   6772966           2PC CAULKING TOOL SET HYDE             1.000  EACH            4.99
         03/31/2022   63857B   74875             8 PIECE CAULKING TOOL KIT DAP          1.000  EACH           15.99
         03/08/2022   54689A   8513335           ADJUSTABLE 12" WALL SCRAPER 4"         1.000  EACH           14.99
         03/31/2022   63987B   852-10WDBLK       LAMBS WOOL FLOOR FINISHING APPL        1.000  EACH           23.99
         03/18/2022   58930A   8629              WOOSTER PELICAN LINER 3PK              1.000  EACH            6.29
         03/22/2022   60171B   8629              WOOSTER PELICAN LINER 3PK              1.000  EACH            6.99
         03/25/2022   61638A   8629              WOOSTER PELICAN LINER 3PK              1.000  EACH            6.99
         03/29/2022   62856B   8629              WOOSTER PELICAN LINER 3PK              1.000  EACH            6.29
         03/07/2022   54202B   9129-15           MARQUIS BRUSH 1-1/2"                   1.000  EACH            6.29
         03/04/2022   53488A   9650599           VULCAN 12" WALL SCRAPER 4" BLAD        1.000  EACH            8.99
         03/08/2022   54689A   9650599           VULCAN 12" WALL SCRAPER 4" BLAD        1.000  EACH            8.99
         03/14/2022   57238B   9913W-25          NOBLE BRUSH 2-1/2"                     1.000  EACH           20.99
         03/18/2022   58819A   AG662603          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.59
