        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of May 2022 to the end of May 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 170,600.46
                               UNKNOWN DEPT      69.48
         05/05/2022   78422B   CW-2-1/2-B        2-1/2 WOOD SCRAPER BLADE               1.000  EACH            3.49
         05/14/2022   82131B   EB200010          COVER STAIN SEALER SPRAY               1.000  EACH           12.99
         05/18/2022   84048B   EB200010          COVER STAIN SEALER SPRAY               1.000  EACH            6.80
         05/30/2022   88640B   EB200010          COVER STAIN SEALER SPRAY               4.000  EACH           51.96
         05/30/2022   88761B   EB200010          COVER STAIN SEALER SPRAY               1.000  EACH           12.99
         05/31/2022   89648B   EB200010          COVER STAIN SEALER SPRAY               2.000  EACH           25.98
         05/17/2022   83204B   GF180200          DYNAMIC CHOMP DEGREASER                1.000  EACH            8.36
         05/02/2022   76792B   HB001757          DYNAMIC MINI ROLLER & TRAY             1.000  EACH            4.29
         05/16/2022   82694B   HB001757          DYNAMIC MINI ROLLER & TRAY             1.000  EACH            4.29
         05/16/2022   82789A   HB001757          DYNAMIC MINI ROLLER & TRAY             1.000  EACH            4.29
         05/03/2022   77359A   HB021740          PRO ROLLER CAGE FRAME 240MM            1.000  EACH            5.49
         05/03/2022   77359A   HB021796          LINT FREE ROLLER 10MM X 240MM          2.000  EACH            8.58
         05/16/2022   82519B   HB021796          LINT FREE ROLLER 10MM X 240MM          2.000  EACH            8.58
         05/28/2022   88287A   HB021797          LINT FREE ROLLER 13MM 240MM            1.000  EACH            4.49
         05/16/2022   82404B   HB021798          DYN.LINT FREE REFILL 20mm X 240        1.000  EACH            5.93
         05/10/2022   80221A   HB021842          10MM LINTFREE ROLLER KIT 4PC           1.000  EACH           11.69
         05/12/2022   81173A   HB021842          10MM LINTFREE ROLLER KIT 4PC           1.000  EACH           11.69
         05/14/2022   82016A   HB021842          10MM LINTFREE ROLLER KIT 4PC           1.000  EACH           12.99
         05/23/2022   85729A   HB021842          10MM LINTFREE ROLLER KIT 4PC           1.000  EACH           12.99
         05/13/2022   82006B   HB160007          SCOUT BRISTLE 3" BRUSH                 1.000  EACH            4.29
         05/24/2022   86256B   HB189003          SOVEREIGN BRUSH 1"                     1.000  EACH            5.39
